indig,age,t_ed,income,quickstats_code,CED_NAME_2021,STATE_NAME_2021,State_acronym,dem_rating,FullName,Party,DivisionID,Australian Labor Party Percentage,Coalition point lead
1.0,39.0,30.2,782.0,101,Banks,New South Wales,NSW,Inner Metropolitan,Hon David Coleman MP,Liberal Party of Australia,103,46.8,3.200000000000003
0.7,36.0,34.4,813.0,102,Barton,New South Wales,NSW,Inner Metropolitan,Hon Linda Burney MP,Australian Labor Party,104,65.54,-15.540000000000006
0.5,37.0,46.9,942.0,103,Bennelong,New South Wales,NSW,Inner Metropolitan,Mr Jerome Laxale MP,Australian Labor Party,105,50.98,-0.9799999999999969
0.7,43.0,40.9,960.0,104,Berowra,New South Wales,NSW,Outer Metropolitan,Mr Julian Leeser MP,Liberal Party of Australia,106,40.23,9.770000000000003
0.6,33.0,20.4,556.0,105,Blaxland,New South Wales,NSW,Inner Metropolitan,Hon Jason Clare MP,Australian Labor Party,107,64.94,-14.939999999999998
0.3,41.0,52.7,1062.0,106,Bradfield,New South Wales,NSW,Inner Metropolitan,Hon Paul Fletcher MP,Liberal Party of Australia,108,43.45,6.549999999999997
7.8,40.0,16.8,757.0,107,Calare,New South Wales,NSW,Rural,Hon Andrew Gee MP,Independent,109,34.55,15.450000000000003
4.2,34.0,24.7,749.0,108,Chifley,New South Wales,NSW,Outer Metropolitan,Hon Ed Husic MP,Australian Labor Party,111,63.47,-13.469999999999999
1.3,42.0,28.0,991.0,109,Cook,New South Wales,NSW,Inner Metropolitan,Hon Scott Morrison MP,Liberal Party of Australia,112,37.56,12.439999999999998
7.2,47.0,16.6,629.0,110,Cowper,New South Wales,NSW,Provincial,Mr Pat Conaghan MP,The Nationals,113,40.53,9.469999999999999
2.7,39.0,28.2,780.0,111,Cunningham,New South Wales,NSW,Provincial,Ms Alison Byrnes MP,Australian Labor Party,114,64.7,-14.700000000000003
5.8,41.0,15.2,718.0,112,Dobell,New South Wales,NSW,Provincial,Hon Emma McBride MP,Australian Labor Party,115,56.52,-6.520000000000003
3.9,43.0,22.6,873.0,113,Eden-Monaro,New South Wales,NSW,Rural,Hon Kristy McBain MP,Australian Labor Party,117,58.2,-8.200000000000003
4.9,42.0,14.2,744.0,114,Farrer,New South Wales,NSW,Rural,Hon Sussan Ley MP,Liberal Party of Australia,118,33.65,16.35
0.9,38.0,15.6,521.0,115,Fowler,New South Wales,NSW,Outer Metropolitan,Ms Dai Le MP,Independent,119,55.72,-5.719999999999999
5.8,49.0,18.0,655.0,116,Gilmore,New South Wales,NSW,Rural,Mrs Fiona Phillips MP,Australian Labor Party,120,50.17,-0.1700000000000017
1.2,38.0,49.3,1254.0,117,Grayndler,New South Wales,NSW,Inner Metropolitan,Hon Anthony Albanese MP,Australian Labor Party,121,78.85,-28.849999999999994
1.6,35.0,35.0,931.0,118,Greenway,New South Wales,NSW,Outer Metropolitan,Hon Michelle Rowland MP,Australian Labor Party,122,61.53,-11.530000000000001
1.5,39.0,28.0,997.0,119,Hughes,New South Wales,NSW,Outer Metropolitan,Ms Jenny Ware MP,Liberal Party of Australia,124,42.99,7.009999999999998
4.2,38.0,16.4,855.0,120,Hume,New South Wales,NSW,Provincial,Hon Angus Taylor MP,Liberal Party of Australia,125,42.28,7.719999999999999
8.0,40.0,13.2,730.0,121,Hunter,New South Wales,NSW,Rural,Mr Dan Repacholi MP,Australian Labor Party,126,54.03,-4.030000000000001
1.9,36.0,40.2,1042.0,122,Kingsford Smith,New South Wales,NSW,Inner Metropolitan,Hon Matt Thistlethwaite MP,Australian Labor Party,127,64.5,-14.5
5.3,35.0,17.7,866.0,123,Lindsay,New South Wales,NSW,Outer Metropolitan,Mrs Melissa McIntosh MP,Liberal Party of Australia,128,43.66,6.340000000000003
6.7,51.0,13.5,600.0,124,Lyne,New South Wales,NSW,Rural,Hon Dr David Gillespie MP,The Nationals,130,36.2,13.799999999999997
3.8,34.0,20.4,806.0,125,Macarthur,New South Wales,NSW,Outer Metropolitan,Dr Mike Freelander MP,Australian Labor Party,131,58.53,-8.530000000000001
0.7,43.0,32.9,1018.0,126,Mackellar,New South Wales,NSW,Outer Metropolitan,Dr Sophie Scamps MP,Independent,132,41.4,8.600000000000001
3.7,42.0,25.0,838.0,127,Macquarie,New South Wales,NSW,Provincial,Ms Susan Templeman MP,Australian Labor Party,133,57.77,-7.770000000000003
1.3,36.0,16.7,602.0,128,McMahon,New South Wales,NSW,Outer Metropolitan,Hon Chris Bowen MP,Australian Labor Party,315,59.49,-9.490000000000002
0.6,38.0,40.8,1026.0,129,Mitchell,New South Wales,NSW,Outer Metropolitan,Hon Alex Hawke MP,Liberal Party of Australia,134,39.31,10.689999999999998
10.3,42.0,15.7,690.0,130,New England,New South Wales,NSW,Rural,Hon Barnaby Joyce MP,The Nationals,135,33.57,16.43
