"","X","Seat_code","IN_PROP","quickstats_code.x","CED_NAME_2021","STATE_NAME_2021.x","SeatID","Enrolment","Yes","No","Informal","Complete","Votes_returned","Votes_returned_pc","Informal_pc_tot","Yes_pc_tot","No_pc_tot","Informal_pc_so_far","Yes_pc_so_far","No_pc_so_far","Yes_lead_pts_so_far","indig","age","t_ed","income","quickstats_code.y","STATE_NAME_2021.y","State_acronym","dem_rating","FullName","Party","DivisionID","Australian.Labor.Party.Percentage","Coalition.point.lead","ALP.margin","Swing"
"1",0,101,55.9,101,"Banks","New South Wales",103,108862,33853,54457,1403,"False",89713,82.41,0.0128878763939667,0.310971688927266,0.5002388344877,0.0156387591541917,0.377347764538027,0.607013476307781,-0.122652235461973,1,39,30.2,782,101,"New South Wales","NSW","Inner Metropolitan","Hon David Coleman MP","Liberal Party of Australia",103,0.468,0.032,-0.032,-0.0906522354619732
"2",1,102,45.8,102,"Barton","New South Wales",104,112669,37225,47069,1409,"False",85703,76.07,0.0125056581668427,0.330392565834435,0.417763537441532,0.0164404979989032,0.434348855932698,0.549210646068399,-0.0656511440673022,0.7,36,34.4,813,102,"New South Wales","NSW","Inner Metropolitan","Hon Linda Burney MP","Australian Labor Party",104,0.6554,-0.1554,0.1554,-0.221051144067302
"3",2,103,46.1,103,"Bennelong","New South Wales",105,117287,44232,48177,1089,"False",93498,79.72,0.00928491648690818,0.377126194718937,0.410761635986938,0.0116473079638067,0.473079638067124,0.515273053969069,-0.0269203619328756,0.5,37,46.9,942,103,"New South Wales","NSW","Inner Metropolitan","Mr Jerome Laxale MP","Australian Labor Party",105,0.5098,-0.00979999999999997,0.00979999999999997,-0.0367203619328755
"4",3,104,62.2,104,"Berowra","New South Wales",106,107219,39529,44364,991,"False",84884,79.17,0.00924276480847611,0.368675328066854,0.41376994749065,0.011674756137788,0.465682578577824,0.522642665284388,-0.0343174214221761,0.7,43,40.9,960,104,"New South Wales","NSW","Outer Metropolitan","Mr Julian Leeser MP","Liberal Party of Australia",106,0.4023,0.0977,-0.0977,0.0633825785778239
"5",4,105,42.9,105,"Blaxland","New South Wales",107,110299,29633,48511,2155,"False",80299,72.8,0.0195378017933073,0.268660640622308,0.439813597584747,0.0268371959800247,0.369033238271959,0.604129565748017,-0.130966761728041,0.6,33,20.4,556,105,"New South Wales","NSW","Inner Metropolitan","Hon Jason Clare MP","Australian Labor Party",107,0.6494,-0.1494,0.1494,-0.280366761728041
"6",5,106,51.8,106,"Bradfield","New South Wales",108,109603,44776,42252,793,"False",87821,80.13,0.00723520341596489,0.408528963623258,0.385500396886947,0.00902973092995981,0.509855273795561,0.481114995274479,0.00985527379556139,0.3,41,52.7,1062,106,"New South Wales","NSW","Inner Metropolitan","Hon Paul Fletcher MP","Liberal Party of Australia",108,0.4345,0.0655,-0.0655,0.0753552737955614
"7",6,107,83.8,107,"Calare","New South Wales",109,123089,29347,74500,1124,"False",104971,85.28,0.00913160396136129,0.238420979941343,0.605253109538627,0.0107077192748473,0.279572453344257,0.709719827380896,-0.220427546655743,7.8,40,16.8,757,107,"New South Wales","NSW","Rural","Hon Andrew Gee MP","Independent",109,0.3455,0.1545,-0.1545,-0.0659275466557429
"8",7,108,49.2,108,"Chifley","New South Wales",111,127433,38878,57752,1548,"False",98178,77.04,0.0121475598942189,0.30508580979809,0.453195012280963,0.0157672798386604,0.39599502943633,0.58823769072501,-0.10400497056367,4.2,34,24.7,749,108,"New South Wales","NSW","Outer Metropolitan","Hon Ed Husic MP","Australian Labor Party",111,0.6347,-0.1347,0.1347,-0.23870497056367
"9",8,109,72.8,109,"Cook","New South Wales",112,111910,32402,57154,1000,"False",90556,80.92,0.00893575194352605,0.289536234474131,0.510713966580288,0.0110428905870401,0.357811740801272,0.631145368611688,-0.142188259198728,1.3,42,28,991,109,"New South Wales","NSW","Inner Metropolitan","Hon Scott Morrison MP","Liberal Party of Australia",112,0.3756,0.1244,-0.1244,-0.0177882591987279
"10",9,110,80.4,110,"Cowper","New South Wales",113,132073,36364,72666,1366,"False",110396,83.59,0.0103427649860305,0.27533258122402,0.550195725091427,0.0123736367259683,0.329395992608428,0.658230370665604,-0.170604007391572,7.2,47,16.6,629,110,"New South Wales","NSW","Provincial","Mr Pat Conaghan MP","The Nationals",113,0.4053,0.0947,-0.0947,-0.0759040073915722
