"","Seat","Value","Type","age"
"1","Braddon",-8.03,"2PP Labor margin",45
"2","Calare",-15.45,"2PP Labor margin",40
"3","Riverina",-14.85,"2PP Labor margin",40
"4","Whitlam",10.07,"2PP Labor margin",41
"5","Bendigo",12.11,"2PP Labor margin",42
"6","New England",-16.43,"2PP Labor margin",42
"7","Wannon",-9.07,"2PP Labor margin",46
"8","Paterson",3.31,"2PP Labor margin",40
"9","Page",-10.74,"2PP Labor margin",46
"10","Gippsland",-20.57,"2PP Labor margin",46
"11","Lyne",-13.8,"2PP Labor margin",51
"12","Eden-Monaro",8.2,"2PP Labor margin",43
"13","Hughes",-7.01,"2PP Labor margin",39
"14","Bean",12.95,"2PP Labor margin",38
"15","Gilmore",0.170000000000002,"2PP Labor margin",49
"16","Cunningham",14.7,"2PP Labor margin",39
"17","Fenner",15.69,"2PP Labor margin",34
"18","Farrer",-16.35,"2PP Labor margin",42
"19","Barker",-16.62,"2PP Labor margin",45
"20","Cowper",-9.47,"2PP Labor margin",47
"21","Macquarie",7.77,"2PP Labor margin",42
"22","Nicholls",-17.15,"2PP Labor margin",43
"23","Cook",-12.44,"2PP Labor margin",42
"24","Shortland",5.82,"2PP Labor margin",43
"25","Franklin",13.7,"2PP Labor margin",41
"26","Mackellar",-8.6,"2PP Labor margin",43
"27","Hunter",4.03,"2PP Labor margin",40
"28","Monash",-2.9,"2PP Labor margin",46
"29","Berowra",-9.77,"2PP Labor margin",43
"30","Indi",-5.26,"2PP Labor margin",45
"31","Aston",-2.81,"2PP Labor margin",40
"32","Ballarat",12.97,"2PP Labor margin",41
"33","Mallee",-18.99,"2PP Labor margin",45
"34","Corangamite",7.6,"2PP Labor margin",40
"35","Robertson",2.26,"2PP Labor margin",44
"36","Casey",-1.48,"2PP Labor margin",40
"37","Hume",-7.72,"2PP Labor margin",38
"38","Bass",-1.43,"2PP Labor margin",41
"39","Banks",-3.2,"2PP Labor margin",39
"40","Flinders",-6.7,"2PP Labor margin",48
"41","Newcastle",17.98,"2PP Labor margin",37
"42","Bradfield",-6.55,"2PP Labor margin",41
"43","Corio",12.84,"2PP Labor margin",39
"44","Mayo",1.59,"2PP Labor margin",46
"45","Richmond",8.23,"2PP Labor margin",46
"46","Lindsay",-6.34,"2PP Labor margin",35
"47","Werriwa",5.82,"2PP Labor margin",34
"48","Hinkler",-10.07,"2PP Labor margin",49
"49","Jagajaga",12.35,"2PP Labor margin",41
"50","Dobell",6.52,"2PP Labor margin",41
"51","Goldstein",-4.8,"2PP Labor margin",43
"52","Lyons",0.920000000000002,"2PP Labor margin",44
"53","Isaacs",6.85,"2PP Labor margin",40
"54","Parkes",-17.84,"2PP Labor margin",39
"55","Clark",17.24,"2PP Labor margin",37
"56","Greenway",11.53,"2PP Labor margin",35
"57","Canberra",22.46,"2PP Labor margin",35
"58","Warringah",-1.43,"2PP Labor margin",40
"59","Forrest",-4.29,"2PP Labor margin",42
"60","Macarthur",8.53,"2PP Labor margin",34
"61","Kingston",16.35,"2PP Labor margin",40
"62","Grayndler",28.85,"2PP Labor margin",38
"63","Bennelong",0.979999999999997,"2PP Labor margin",37
"64","Makin",10.8,"2PP Labor margin",39
"65","Grey",-10.07,"2PP Labor margin",45
"66","Mitchell",-10.69,"2PP Labor margin",38
"67","La Trobe",-8.69,"2PP Labor margin",34
"68","Moore",-0.659999999999997,"2PP Labor margin",42
"69","Boothby",3.28,"2PP Labor margin",42
"70","Dunkley",6.27,"2PP Labor margin",40
"71","Fowler",5.72,"2PP Labor margin",38
"72","Dawson",-10.42,"2PP Labor margin",39
"73","North Sydney",-1.26,"2PP Labor margin",39
"74","Ryan",2.42,"2PP Labor margin",36
"75","Kingsford Smith",14.5,"2PP Labor margin",36
"76","Bowman",-5.51,"2PP Labor margin",43
"77","Gellibrand",11.54,"2PP Labor margin",35
"78","Chifley",13.47,"2PP Labor margin",34
"79","Hindmarsh",8.95,"2PP Labor margin",42
"80","McMahon",9.49,"2PP Labor margin",36
"81","Curtin",-5.6,"2PP Labor margin",39
"82","McEwen",3.28,"2PP Labor margin",36
"83","Wide Bay",-11.34,"2PP Labor margin",49
"84","Hawke",7.63,"2PP Labor margin",35
"85","Capricornia",-6.59,"2PP Labor margin",38
"86","Lalor",12.82,"2PP Labor margin",32
"87","Reid",5.19,"2PP Labor margin",35
"88","Cooper",25.46,"2PP Labor margin",37
"89","Hotham",14.25,"2PP Labor margin",37
"90","Fairfax",-8.95,"2PP Labor margin",43
"91","Sturt",-0.450000000000003,"2PP Labor margin",41
"92","Lilley",10.54,"2PP Labor margin",37
"93","Dickson",-1.7,"2PP Labor margin",38
"94","Tangney",2.38,"2PP Labor margin",40
"95","Gorton",9.97,"2PP Labor margin",35
"96","Pearce",9.04,"2PP Labor margin",35
"97","Kooyong",-4.18,"2PP Labor margin",40
"98","Bruce",6.59,"2PP Labor margin",37
"99","Canning",-3.59,"2PP Labor margin",42
"100","Deakin",-0.189999999999998,"2PP Labor margin",40
"101","Menzies",-0.68,"2PP Labor margin",42
"102","Wentworth",-5.92,"2PP Labor margin",38
"103","Scullin",15.58,"2PP Labor margin",36
"104","Watson",15.1,"2PP Labor margin",36
"105","O'Connor",-6.97,"2PP Labor margin",42
"106","Barton",15.54,"2PP Labor margin",36
"107","Adelaide",11.91,"2PP Labor margin",36
"108","Hasluck",6,"2PP Labor margin",37
"109","Chisholm",6.41,"2PP Labor margin",39
